,loc_i,loc_j,coupling
0,9120201,6120103,2.82204e-05
1,7320203,6120103,1.17578e-05
2,12320101,6120103,4.92117e-05
3,3120301,6120103,0.00021002
4,6120201,6120103,0.001867823
5,7320404,6120103,2.60482e-05
6,12220201,6120103,0.0001848953
7,1230114,6120103,0.000151223
8,1130113,6120103,0.0001274181
9,8320303,6120103,3.9526e-05
10,6220103,6120103,0.0006126184
11,9320102,6120103,8.07494e-05
12,12120202,6120103,4.97663e-05
13,3320101,6120103,0.0001712655
14,12220203,6120103,0.0001460402
15,8220304,6120103,6.10995e-05
16,12220204,6120103,0.0007672483
17,1230121,6120103,6.85444e-05
18,7230111,6120103,3.49576e-05
19,8120105,6120103,0.0005383097
20,4220402,6120103,1.16325e-05
21,3320301,6120103,0.0001088906
22,12120103,6120103,0.000184416
23,6220101,6120103,0.0007084797
24,3320205,6120103,0.0001077382
25,1130124,6120103,8.9301e-05
26,6120102,6120103,0.0267218247
27,6120301,6120103,0.0006910438
28,9120402,6120103,0.0002392462
29,1430115,6120103,3.04223e-05
30,1130142,6120103,0.0002018972
31,5220101,6120103,7.10606e-05
32,2120402,6120103,0.0001227365
33,7120301,6120103,0.0001049095
34,1230133,6120103,0.0001887396
35,9220202,6120103,0.000751551
36,6120203,6120103,0.0027460115
37,1230124,6120103,2.87808e-05
38,1230113,6120103,0.0001767631
39,2120102,6120103,0.0001520858
40,9220301,6120103,0.0024195298
41,9220104,6120103,0.0004235811
42,4120203,6120103,7.46943e-05
43,8120107,6120103,0.0002865466
44,9120303,6120103,0.0002516537
45,1430113,6120103,6.9253e-06
46,8120104,6120103,5.9657e-05
47,8320103,6120103,0.0006080292
48,1230111,6120103,0.0002112874
49,12420201,6120103,2.09218e-05
50,4220202,6120103,4.1933e-06
51,8220303,6120103,8.5009e-05
52,11120201,6120103,1.88064e-05
53,1230127,6120103,8.80497e-05
54,12320103,6120103,0.0002632474
55,7120302,6120103,0.0001146206
56,1130143,6120103,0.000315123
57,4120201,6120103,4.60671e-05
58,12120101,6120103,0.0001065675
59,7120303,6120103,6.25866e-05
60,6120103,6120103,0.6878398286
61,9220103,6120103,0.0180022129
62,8320203,6120103,0.0001746138
63,5120301,6120103,1.44744e-05
64,1130134,6120103,4.36491e-05
65,9120204,6120103,0.0002426555
66,7120102,6120103,8.07148e-05
67,5220102,6120103,5.28721e-05
68,7220303,6120103,3.89365e-05
69,7230122,6120103,2.8394e-05
70,9120102,6120103,0.000330067
71,6220302,6120103,0.0124905531
72,7120202,6120103,0.0001190893
73,1130121,6120103,8.38489e-05
74,1430112,6120103,7.07883e-05
75,10220304,6120103,6.14559e-05
76,6220206,6120103,0.0003298289
77,1330112,6120103,4.18583e-05
78,14220203,6120103,9.94728e-05
79,7320401,6120103,2.83794e-05
80,1320103,6120103,0.000306384
81,1230134,6120103,9.4852e-05
82,1230131,6120103,4.14691e-05
83,1130115,6120103,0.0001492482
84,10120301,6120103,4.03242e-05
85,6320204,6120103,0.0001040078
86,1130123,6120103,7.41068e-05
87,7220202,6120103,4.4352e-06
88,9320101,6120103,0.0001804344
89,11220101,6120103,5.31747e-05
90,5420103,6120103,0.0001697073
91,3120303,6120103,8.70242e-05
92,7220203,6120103,2.0107e-05
93,7220201,6120103,1.8284e-05
94,9220303,6120103,0.0043842991
95,8320402,6120103,9.974e-06
96,6320202,6120103,0.0006976663
97,8220203,6120103,5.50381e-05
98,7120203,6120103,0.0001435704
99,5420202,6120103,0.0001785054
100,7320103,6120103,1.82e-05
101,1320101,6120103,5.18031e-05
102,12420101,6120103,0.0005945602
103,8220402,6120103,0.0032477067
104,12320302,6120103,6.37531e-05
105,2120103,6120103,6.7471e-06
106,1130144,6120103,0.0005380719
107,3220201,6120103,0.0010312113
108,1130122,6120103,0.0001584808
109,1230112,6120103,0.0001099119
110,1130133,6120103,0.0001516121
111,1230132,6120103,0.0001193306
112,1230123,6120103,7.88979e-05
113,12220202,6120103,0.0003458595
114,8220404,6120103,1.3085e-05
115,10320204,6120103,8.29772e-05
116,12420102,6120103,0.0004636626
117,5420104,6120103,5.43117e-05
118,1130132,6120103,6.48563e-05
119,3220204,6120103,0.001140208
120,7320101,6120103,4.1938e-06
121,13120101,6120103,6.5274e-05
122,1230122,6120103,0.0001169258
123,9120202,6120103,1.72285e-05
124,1130112,6120103,5.44853e-05
125,5120302,6120103,1.63784e-05
126,7120201,6120103,0.0004120222
127,3120103,6120103,0.0001716116
128,5120303,6120103,1.1576e-06
129,9220101,6120103,0.0034784005
130,2320103,6120103,2.11142e-05
131,1320102,6120103,0.0001010037
132,9220302,6120103,0.0014994448
133,14320103,6120103,0.000167369
134,5420204,6120103,4.16051e-05
135,8320104,6120103,0.0002371439
136,12220101,6120103,0.0007097007
137,1430111,6120103,0.0002134861
138,10220302,6120103,4.1475e-05
139,6320103,6120103,0.002251146
140,2120401,6120103,8.59374e-05
141,8120101,6120103,0.0001825051
142,6220202,6120103,0.0017113113
143,14220303,6120103,0.0001388607
144,1130131,6120103,6.33481e-05
145,10120203,6120103,0.0001154574
146,13320102,6120103,4.78916e-05
147,6220203,6120103,0.0004797232
148,6120202,6120103,0.0016917802
149,1130126,6120103,8.78091e-05
150,9220105,6120103,0.0304557866
151,6120303,6120103,0.0007538389
152,12320201,6120103,3.31173e-05
153,7220102,6120103,4.96681e-05
154,14120203,6120103,9.3077e-06
155,4220301,6120103,6.4266e-06
156,9120301,6120103,0.000412993
157,5320202,6120103,8.32276e-05
158,14320102,6120103,2.37456e-05
159,8220103,6120103,9.49206e-05
160,1330111,6120103,1.94825e-05
161,12220102,6120103,5.15703e-05
162,7230121,6120103,2.73038e-05
163,5120201,6120103,2.69016e-05
164,4220101,6120103,2.03813e-05
165,3320202,6120103,0.0013685069
166,6220102,6120103,0.0005458375
167,11120203,6120103,1.72048e-05
168,9220201,6120103,0.0003516549
169,1230135,6120103,0.0002284375
170,8220403,6120103,0.0001811725
171,9320203,6120103,0.000351725
172,6320101,6120103,0.0016646257
173,10120104,6120103,0.0001011199
174,3220202,6120103,0.0057855722
175,7220101,6120103,5.1506e-06
176,12120204,6120103,0.0004084669
177,6320102,6120103,0.0006696802
178,1130114,6120103,6.89488e-05
179,7320403,6120103,5.95829e-05
180,11120102,6120103,1.42607e-05
181,2320201,6120103,6.53911e-05
182,1130141,6120103,0.0001258478
183,7220301,6120103,0.0002070495
184,3120203,6120103,8.27529e-05
185,1430114,6120103,0.0001684191
186,14220104,6120103,0.0003162426
187,9220304,6120103,0.0007339691
188,9120103,6120103,0.0001863045
189,4320101,6120103,3.69876e-05
190,11120202,6120103,3.12651e-05
191,3320302,6120103,2.50878e-05
192,1230126,6120103,0.0001086486
193,3320105,6120103,0.0010784749
194,8220302,6120103,5.73707e-05
195,12420202,6120103,0.0001981633
196,14120101,6120103,2.80034e-05
197,3320102,6120103,0.0002739458
198,2120304,6120103,2.85913e-05
199,5320401,6120103,3.04025e-05
200,4120101,6120103,7.6397e-06
201,4320103,6120103,7.16053e-05
202,8220401,6120103,0.0023647487
203,14220103,6120103,0.0005159276
204,3120202,6120103,0.0005983105
205,9320202,6120103,0.0007041262
206,4220201,6120103,2.84621e-05
207,6220204,6120103,0.0019325304
208,1330113,6120103,7.13954e-05
209,10320303,6120103,2.962e-05
210,8220104,6120103,0.0002601563
211,14220101,6120103,0.0001703704
212,8320201,6120103,0.0002345589
213,12120102,6120103,3.59855e-05
214,2120403,6120103,2.05288e-05
215,8320202,6120103,6.7995e-06
216,4220403,6120103,6.9473e-06
217,7320304,6120103,4.45583e-05
218,6220304,6120103,0.0185041055
219,8220102,6120103,7.37241e-05
220,8120102,6120103,0.0001013029
221,8220201,6120103,0.0001887488
222,8120303,6120103,5.38859e-05
223,10220102,6120103,0.0001735032
224,14220301,6120103,0.0001019232
225,8120204,6120103,8.2007e-06
226,10120202,6120103,0.0021160686
227,1230125,6120103,7.41127e-05
228,11220201,6120103,3.03532e-05
229,7220204,6120103,2.54741e-05
230,2220202,6120103,1.52668e-05
231,5420101,6120103,3.71833e-05
232,9120401,6120103,0.0001387984
233,6120302,6120103,0.0002471365
234,3220203,6120103,8.43542e-05
235,6220301,6120103,0.0025422106
236,6320203,6120103,0.0005404237
237,6220205,6120103,0.0004200458
238,9120403,6120103,0.0001260902
239,5320201,6120103,2.90343e-05
240,2120303,6120103,1.59377e-05
241,2120201,6120103,8.2871e-06
242,9220203,6120103,0.0002474524
243,9120302,6120103,0.0001834258
244,8320401,6120103,6.94525e-05
245,13320203,6120103,6.4925e-06
246,3120304,6120103,0.0001788695
247,6320104,6120103,0.0056651492
248,11220103,6120103,2.08309e-05
249,9320201,6120103,0.0006968371
250,8220301,6120103,2.72784e-05
251,6220303,6120103,0.0022568786
252,7120101,6120103,0.0005570192
253,14320303,6120103,7.612e-06
254,1130125,6120103,5.97578e-05
255,6320201,6120103,0.0004982329
256,9120104,6120103,0.0002138562
257,10320203,6120103,1.32149e-05
258,14220302,6120103,0.0001275727
259,10320302,6120103,0.0001955691
260,11220102,6120103,2.0703e-06
261,8320403,6120103,5.33248e-05
262,2220101,6120103,4.45578e-05
263,5120102,6120103,0.0012075674
264,13320201,6120103,8.50033e-05
422,9120201,7120201,0.0261941448
423,7320203,7120201,0.0035861258
424,12320101,7120201,0.0060591894
425,3120301,7120201,0.0002371193
426,6120201,7120201,0.0006605501
427,7320404,7120201,0.0008647995
428,12220201,7120201,0.000875171
429,1230114,7120201,0.0009798793
