,loc_i,loc_j,coupling
0,12220101,9120201,3.29641e-06
1,7320203,9120201,2.71675e-06
2,3120301,9120201,4.78483e-06
3,9320102,9120201,2.44684e-06
4,7320404,9120201,3.69237e-06
5,12220201,9120201,2.80405e-06
6,1230114,9120201,6.72029e-06
7,8320403,9120201,1.7839e-06
8,9120102,9120201,8.68968e-05
9,7120302,9120201,9.616996e-05
10,6220103,9120201,1.98688e-06
11,6120201,9120201,1.705226e-05
12,12120202,9120201,2.57296e-06
13,1330112,9120201,1.535453e-05
14,9220104,9120201,0.00303621774
15,6220302,9120201,3.55925e-06
16,9220202,9120201,0.00840548082
17,5220102,9120201,7.6568e-07
18,7230111,9120201,3.90065e-06
19,7220203,9120201,2.31595e-06
20,8120105,9120201,2.64308e-06
21,12120103,9120201,1.23947e-06
22,3320205,9120201,3.08439e-06
23,1130124,9120201,6.23139e-06
24,1130123,9120201,4.25506e-06
25,6120102,9120201,2.872142e-05
26,1430115,9120201,8.01085e-06
27,1230125,9120201,4.5354e-06
28,1130142,9120201,6.61169e-06
29,2120402,9120201,3.309805e-05
30,4120201,9120201,1.73707e-06
31,7120301,9120201,0.00013175314
32,1230133,9120201,9.67958e-06
33,1320102,9120201,6.14291e-06
34,6120203,9120201,6.94252e-06
35,8220404,9120201,1.05917e-06
36,1230124,9120201,7.9512e-06
37,14320301,9120201,5.24101e-06
38,9220301,9120201,4.5865e-06
39,4120203,9120201,1.2353e-07
40,3320101,9120201,9.23497e-06
41,9120303,9120201,4.87322e-05
42,2220202,9120201,3.17469e-06
43,9120401,9120201,0.00014572303
44,1230122,9120201,3.78999e-06
45,9320203,9120201,5.351079e-05
46,7320401,9120201,2.36572e-06
47,6120103,9120201,5.86663e-06
48,1130134,9120201,2.25413e-06
49,9120402,9120201,0.00045129688
50,6220102,9120201,1.34228e-06
51,8220102,9120201,1.72091e-06
52,7230122,9120201,6.28213e-06
53,6120301,9120201,6.577385e-05
54,8320303,9120201,9.0755e-07
55,5220301,9120201,9.07762e-06
56,1130121,9120201,1.86138e-06
57,1430112,9120201,3.03152e-06
58,1230121,9120201,2.48264e-06
59,1130113,9120201,1.290471e-05
60,10220304,9120201,1.53432e-06
61,8320301,9120201,8.57133e-06
62,7320405,9120201,6.42339e-06
63,1130133,9120201,6.50135e-06
64,1130125,9120201,1.6964e-06
65,1230134,9120201,5.7776e-06
66,1230131,9120201,1.064558e-05
67,6320102,9120201,5.10355e-06
68,1130115,9120201,1.409392e-05
69,6320204,9120201,7.46374e-06
70,7220202,9120201,2.29648e-06
71,8120204,9120201,1.98076e-06
72,3120303,9120201,7.25421e-06
73,3120302,9120201,2.42055e-05
74,6120302,9120201,7.95978e-06
75,1230132,9120201,1.741776e-05
76,9220303,9120201,5.051236e-05
77,1230111,9120201,5.37559e-06
78,1130143,9120201,3.19466e-06
79,7220302,9120201,1.341166e-05
80,1230112,9120201,4.21422e-06
81,5220302,9120201,2.09263e-06
82,7320103,9120201,1.040339e-05
83,1320101,9120201,2.900321e-05
84,1230123,9120201,3.45317e-06
85,1430113,9120201,3.48077e-06
86,7220303,9120201,1.94857e-06
87,14320105,9120201,1.91737e-06
88,1130114,9120201,5.35214e-06
89,1130144,9120201,5.95287e-06
90,3220201,9120201,1.501735e-05
91,12420101,9120201,2.66236e-06
92,7120303,9120201,6.950558e-05
93,9120201,9120201,0.93143931364
94,2320103,9120201,3.8288e-07
95,1230135,9120201,1.684123e-05
96,3220203,9120201,3.42625e-06
97,6220205,9120201,4.11468e-06
98,3220204,9120201,0.00013735802
99,2220101,9120201,4.20707e-06
100,7320101,9120201,2.208e-06
101,9120403,9120201,0.00437949617
102,9120202,9120201,0.01163456362
103,1130112,9120201,4.12948e-06
104,12220204,9120201,1.276875e-05
105,1230127,9120201,2.498532e-05
106,4220401,9120201,6.1008e-07
107,3120103,9120201,1.025026e-05
108,3120204,9120201,1.190798e-05
109,7120202,9120201,0.00065624618
110,7230121,9120201,4.785e-06
111,9220302,9120201,8.58855e-06
112,8320104,9120201,3.92229e-06
113,1430111,9120201,4.1339e-06
114,2120401,9120201,6.29279e-06
115,8120101,9120201,5.13176e-06
116,1130131,9120201,3.26341e-06
117,3320201,9120201,1.339504e-05
118,7320402,9120201,3.94738e-06
119,6320201,9120201,4.57385e-06
120,9120203,9120201,0.08899053616
121,6120202,9120201,9.94233e-06
122,1130126,9120201,1.69621e-06
123,8120102,9120201,1.62752e-06
124,5120201,9120201,5.8105e-07
125,7220201,9120201,4.41511e-06
126,5320202,9120201,8.3906e-07
127,6220204,9120201,1.07555e-06
128,1230113,9120201,4.53906e-06
129,8120303,9120201,1.89538e-06
130,9120301,9120201,4.143492e-05
131,12220102,9120201,4.5296e-06
132,6320101,9120201,1.079599e-05
133,7120203,9120201,0.00102943516
134,7220101,9120201,8.8089e-06
135,4220403,9120201,3.1233e-07
136,9220103,9120201,1.400074e-05
137,4320101,9120201,6.3811e-07
138,8320402,9120201,5.86741e-06
139,7320403,9120201,2.90181e-06
140,1130122,9120201,2.62632e-06
