loc_i,loc_j,coupling force
9120201,6120103,4.3756e-07
3120301,6120103,2.75229e-06
9320102,6120103,5.15497e-06
12220201,6120103,5.894001e-05
1230114,6120103,1.18528e-06
1130113,6120103,1.77279e-06
8320303,6120103,1.23853e-06
2120102,6120103,2.13767e-06
7120302,6120103,9.89104e-06
6220103,6120103,5.39101e-06
1130142,6120103,1.03028e-06
12120202,6120103,7.51511e-06
1130141,6120103,6.0904e-07
14220203,6120103,8.0782e-07
9220104,6120103,5.646432e-05
1430111,6120103,1.31869e-06
6220302,6120103,0.01331128566
12220204,6120103,1.756993e-05
5220102,6120103,8.5816e-07
7230111,6120103,2.613e-07
3120303,6120103,7.1219e-07
1230124,6120103,1.2752e-06
12120103,6120103,7.48713e-06
6220101,6120103,1.323158e-05
3320205,6120103,8.101e-07
1130124,6120103,8.6366e-07
6120102,6120103,0.02182601073
6120301,6120103,0.00011846632
8220404,6120103,1.02657e-06
1430115,6120103,8.4665e-07
2120402,6120103,1.47125e-06
7120301,6120103,2.26718e-06
1230133,6120103,1.87126e-06
6120203,6120103,0.00052432513
2120304,6120103,1.9313e-07
7120303,6120103,3.14528e-06
1130133,6120103,8.2531e-07
9220301,6120103,0.00296298858
3320101,6120103,4.84194e-06
1230127,6120103,3.00862e-06
1430113,6120103,2.1767e-07
6120103,6120103,0.84612223059
1230111,6120103,6.5888e-07
1130125,6120103,3.0725e-07
11120201,6120103,3.1648e-07
1130143,6120103,1.6901e-06
6120201,6120103,0.00051056319
9220103,6120103,0.02242786483
8320203,6120103,2.19473e-06
1130134,6120103,6.12e-08
9120402,6120103,2.344087e-05
6220102,6120103,2.393443e-05
1130112,6120103,6.8516e-07
7220303,6120103,8.4563e-07
7230122,6120103,7.4959e-07
13120102,6120103,2.9657e-06
9120102,6120103,3.351327e-05
1130121,6120103,9.9642e-07
1430112,6120103,4.6889e-07
1230121,6120103,1.00547e-06
10220304,6120103,3.5419e-07
8320301,6120103,4.00773e-06
7320401,6120103,2.5835e-07
1320103,6120103,4.0761e-07
1230134,6120103,1.51837e-06
1230131,6120103,1.11567e-06
1130115,6120103,1.8202e-07
9320201,6120103,1.027153e-05
7220203,6120103,1.11595e-06
7220302,6120103,2.05422e-06
12220101,6120103,1.614032e-05
9220304,6120103,0.00012149239
7120203,6120103,1.680148e-05
5220302,6120103,6.4001e-07
1320101,6120103,2.53903e-06
1130123,6120103,1.20297e-06
1130114,6120103,3.1358e-07
1130144,6120103,2.50669e-06
1230123,6120103,6.1437e-07
7220202,6120103,9.9793e-07
9120401,6120103,2.74283e-06
1230125,6120103,1.24027e-06
9220202,6120103,2.61739e-06
1230135,6120103,2.66225e-06
1130132,6120103,5.3848e-07
6220205,6120103,2.779323e-05
7230121,6120103,2.9458e-07
3220204,6120103,3.908387e-05
1230132,6120103,2.60934e-06
7120201,6120103,2.09214e-06
9120202,6120103,4.19382e-06
4220302,6120103,4.21e-07
8320201,6120103,2.83751e-06
3120103,6120103,5.13094e-06
2320103,6120103,1.6858e-07
6220301,6120103,0.0001589048
3120204,6120103,3.26542e-06
1320102,6120103,1.19935e-06
9220302,6120103,0.00023928162
7120202,6120103,2.839515e-05
3220201,6120103,4.69587e-06
6120302,6120103,2.14425e-06
14220303,6120103,1.68107e-06
6320103,6120103,6.438487e-05
1230112,6120103,8.986e-07
1330112,6120103,1.62298e-06
6120202,6120103,0.00018874142
1130126,6120103,6.2882e-07
9220105,6120103,0.0607176681
8120102,6120103,8.1105e-07
6320201,6120103,1.714944e-05
5220101,6120103,3.18201e-06
7220201,6120103,5.9127e-07
7220301,6120103,1.556e-06
9120303,6120103,2.6368e-06
1230113,6120103,1.17412e-06
9120301,6120103,4.87255e-06
9320203,6120103,1.269223e-05
6320202,6120103,9.35357e-06
6320101,6120103,0.00032544574
7120102,6120103,1.4884e-06
6220206,6120103,4.919726e-05
4320101,6120103,1.4716e-07
6220203,6120103,4.416315e-05
1130131,6120103,5.7687e-07
1130122,6120103,5.4496e-07
1430114,6120103,4.9807e-07
14220104,6120103,2.09105e-06
9220303,6120103,0.00217025779
12220102,6120103,4.75504e-06
1330113,6120103,8.1025e-07
1230126,6120103,6.3415e-07
3320105,6120103,1.415028e-05
12420202,6120103,1.215197e-05
6120303,6120103,7.319142e-05
6220304,6120103,0.02184293718
12120204,6120103,1.65814e-06
8220401,6120103,4.51869e-06
9320202,6120103,2.013892e-05
3220203,6120103,2.66118e-06
6220204,6120103,0.00015645154
14220101,6120103,4.65346e-06
9120204,6120103,4.78613e-06
10120301,6120103,1.1847e-07
14320103,6120103,2.11182e-06
12320101,6120103,1.61248e-06
12320103,6120103,1.58007e-06
3320201,6120103,7.06619e-06
12220202,6120103,1.402972e-05
6220202,6120103,0.00015794215
2120403,6120103,3.12618e-06
5420203,6120103,3.86138e-06
9120302,6120103,1.010909e-05
8120204,6120103,2.7184e-07
6320203,6120103,2.954898e-05
4320103,6120103,1.4456e-06
6220303,6120103,0.00065100065
1330111,6120103,1.5624e-07
6320104,6120103,7.682753e-05
9220101,6120103,0.00167843938
5120201,6120103,5.5313e-07
7120101,6120103,3.98156e-06
9120403,6120103,5.232961e-05
5420204,6120103,1.67808e-06
2120201,6120103,9.6287e-07
9120104,6120103,6.43206e-06
9220201,6120103,6.71868e-06
14220302,6120103,5.56737e-06
9220203,6120103,3.46318e-06
9120201,9320203,3.06291e-06
3120301,9320203,0.00012660545
9320102,9320203,0.00014949417
1230114,9320203,7.9019e-07
1130113,9320203,8.461e-07
8320303,9320203,1.23853e-06
7120302,9320203,3.0434e-06
1130142,9320203,6.1817e-07
12120202,9320203,7.51511e-06
1130141,9320203,5.8367e-07
14220203,9320203,1.61563e-06
9220104,9320203,2.59606e-06
1430111,9320203,4.0575e-07
6220302,9320203,3.30715e-06
5220102,9320203,2.09772e-06
7230111,9320203,3.22274e-06
3120303,9320203,0.00011501829
1230124,9320203,2.89818e-06
12120103,9320203,8.38558e-06
3320205,9320203,1.145709e-05
1130124,9320203,1.45458e-06
6120102,9320203,3.222979e-05
6120301,9320203,5.923316e-05
8220404,9320203,6.15941e-06
1430115,9320203,1.26998e-06
2120402,9320203,4.9042e-07
7120301,9320203,3.55396e-06
1230133,9320203,1.54583e-06
6120203,9320203,1.184307e-05
2120304,9320203,9.6563e-07
7120303,9320203,2.59827e-06
1130133,9320203,4.8768e-07
9220301,9320203,2.88228e-06
3320101,9320203,0.00045029996
1230127,9320203,2.73511e-06
1430113,9320203,1.08834e-06
6120103,9320203,7.40545e-06
1230111,9320203,5.2711e-07
1130125,9320203,3.0725e-07
1130143,9320203,6.8254e-07
6120201,9320203,4.724965e-05
9220103,9320203,1.02521e-05
1130134,9320203,3.0599e-07
9120402,9320203,5.7926e-05
6220102,9320203,3.06852e-06
1130112,9320203,3.2989e-07
7220303,9320203,9.7247e-06
7230122,9320203,6.24656e-06
9120102,9320203,0.00041247106
1130121,9320203,4.2704e-07
1430112,9320203,3.7511e-07
1230121,9320203,5.0273e-07
7320401,9320203,3.48769e-06
1320103,9320203,4.0761e-07
1230134,9320203,3.7959e-07
1230131,9320203,1.67351e-06
1130115,9320203,4.55e-08
9320201,9320203,0.02166778798
7220203,9320203,6.584116e-05
7220302,9320203,4.211145e-05
12220101,9320203,2.088747e-05
9220304,9320203,8.74745e-06
7120203,9320203,1.857005e-05
