,loc_i,loc_j,coupling
0,2120403,12220101,0.0004309271
1,7320203,12220101,1.31404e-05
2,3120301,12220101,6.12807e-05
3,9320102,12220101,0.0043989248
4,7320404,12220101,0.0001359482
5,6220101,12220101,0.0024224195
6,1230114,12220101,9.66917e-05
7,14320103,12220101,0.0129941639
8,14320104,12220101,5.57127e-05
9,7320202,12220101,2.64436e-05
10,9120102,12220101,0.0001471544
11,2120102,12220101,3.16603e-05
12,5220303,12220101,3.86781e-05
13,8220202,12220101,6.80478e-05
14,6220103,12220101,0.0003357672
15,6120201,12220101,0.0020377986
16,12120202,12220101,0.0138035217
17,1130141,12220101,6.96685e-05
18,8220304,12220101,0.0016771723
19,6220302,12220101,0.0001461895
20,5220102,12220101,0.0002519443
21,7230111,12220101,7.53382e-05
22,12220201,12220101,0.013191822
23,7220203,12220101,0.0002287445
24,3120303,12220101,8.61348e-05
25,1230124,12220101,0.000269815
26,3320301,12220101,0.0003015272
27,12120103,12220101,0.0070135125
28,10220302,12220101,9.16979e-05
29,2320102,12220101,3.15341e-05
30,3320205,12220101,0.0002308974
31,6120102,12220101,0.0005343111
32,1230134,12220101,0.0001090459
33,1430115,12220101,9.05129e-05
34,1130142,12220101,0.0001078814
35,8220404,12220101,0.000368205
36,2120402,12220101,8.84953e-05
37,4120201,12220101,0.0001307938
38,7120301,12220101,0.0001566818
39,10220103,12220101,0.000100162
40,8320204,12220101,0.0007652607
41,11320103,12220101,1.59941e-05
42,1230133,12220101,0.0001902729
43,8320101,12220101,3.89275e-05
44,12320202,12220101,0.0005046293
45,1130113,12220101,5.75951e-05
46,8320304,12220101,2.27461e-05
47,6120203,12220101,0.002241313
48,8120204,12220101,6.44373e-05
49,2120304,12220101,9.69393e-05
50,5320101,12220101,0.0001171133
51,9220301,12220101,0.0006051653
52,9220104,12220101,0.0001208453
53,4120203,12220101,5.4264e-05
54,3120202,12220101,1.19407e-05
55,1230127,12220101,0.0001111699
56,3220102,12220101,0.0002242767
57,8320103,12220101,1.50805e-05
58,8120104,12220101,2.20167e-05
59,13220201,12220101,0.0001508376
60,1230111,12220101,9.8946e-05
61,7320401,12220101,9.74147e-05
62,4220202,12220101,1.5194e-05
63,3320101,12220101,0.0008220509
64,8220303,12220101,0.0001893889
65,5220203,12220101,0.0003181549
66,12120201,12220101,0.0012259073
67,8220405,12220101,0.0004902905
68,1130143,12220101,0.0001505159
69,1230121,12220101,6.86203e-05
70,6120103,12220101,0.0012756406
71,9120302,12220101,0.0001684275
72,8120107,12220101,2.36376e-05
73,8320203,12220101,0.0017410688
74,5320102,12220101,5.97645e-05
75,5120301,12220101,7.19763e-05
76,1130134,12220101,2.16447e-05
77,9120402,12220101,0.0001456182
78,10320302,12220101,0.0002489801
79,9120204,12220101,8.59104e-05
80,10220301,12220101,2.03868e-05
81,7230122,12220101,9.05555e-05
