loc_i,loc_j,coupling force
9120201,6120103,6.63226e-05
6120201,6120103,0.0018697417
1230114,6120103,0.000201292
12220101,6120103,0.0003602661
8220202,6120103,2.05493e-05
6220103,6120103,0.0002141275
9320102,6120103,1.16027e-05
12120202,6120103,5.5732e-06
14220203,6120103,0.0001858848
1430112,6120103,7.47109e-05
5220102,6120103,1.13758e-05
7230111,6120103,4.65165e-05
12220201,6120103,0.0005100523
12120103,6120103,0.0002942598
7220303,6120103,6.96157e-05
8120104,6120103,6.70481e-05
1130123,6120103,0.0001284035
6120102,6120103,0.0208333333
1230134,6120103,0.0001126118
8220404,6120103,1.43316e-05
1430115,6120103,0.0001121219
1130142,6120103,0.0001823735
2120402,6120103,0.0002154829
12420202,6120103,0.0001962018
7120301,6120103,0.0001334624
11320103,6120103,0.0001268124
1230133,6120103,0.0001695711
5320202,6120103,0.0001810438
1320102,6120103,0.0001016541
1130113,6120103,0.000252416
6120203,6120103,0.0035139283
1230124,6120103,7.18988e-05
1230113,6120103,0.0003027769
1130122,6120103,0.0002550867
9220301,6120103,0.0015652334
9220104,6120103,0.0004666302
4120203,6120103,7.41126e-05
9220304,6120103,0.0008981577
1430113,6120103,3.33221e-05
8220304,6120103,1.55749e-05
8320103,6120103,0.0001840959
1230111,6120103,0.0002969519
4220202,6120103,8.7951e-06
11120201,6120103,8.94156e-05
12320103,6120103,0.000534913
1130143,6120103,0.0004941997
1230121,6120103,0.0001412638
4120201,6120103,4.68975e-05
7120303,6120103,6.33202e-05
6120103,6120103,0.7510556469
9120302,6120103,0.0002966164
1130141,6120103,0.0001628848
1130134,6120103,5.18839e-05
9120402,6120103,0.0002463062
9120204,6120103,0.0001651998
7230122,6120103,2.2817e-05
1230126,6120103,0.000141378
9120102,6120103,3.22692e-05
8220102,6120103,0.0003028596
1130121,6120103,0.0001338029
7320401,6120103,7.8447e-06
10220304,6120103,9.7665e-05
7120302,6120103,0.0001326622
8320301,6120103,1.54204e-05
9320202,6120103,7.80308e-05
1320103,6120103,0.0001335208
1230131,6120103,4.4036e-05
1130115,6120103,0.0002712576
9220103,6120103,0.0205983632
11220101,6120103,5.76084e-05
3120303,6120103,0.0002374005
7220203,6120103,5.1091e-06
9220303,6120103,0.0071498206
8320402,6120103,8.96334e-05
7220302,6120103,5.9123e-06
8220203,6120103,5.09097e-05
13120101,6120103,0.0001158454
5220302,6120103,0.0001243861
7320103,6120103,1.99926e-05
1320101,6120103,0.0001123886
6220101,6120103,0.0006121096
3320205,6120103,6.81741e-05
12220204,6120103,0.0003933468
11120203,6120103,2.8599e-06
5420104,6120103,0.0003123096
7230121,6120103,3.30218e-05
7320403,6120103,0.0002426737
1130133,6120103,0.000281514
1230132,6120103,0.0003616625
1230123,6120103,0.0001422056
9220202,6120103,0.0015229333
1130132,6120103,4.71397e-05
1130124,6120103,0.0001372357
5420103,6120103,0.0002582811
1130112,6120103,9.57916e-05
1230127,6120103,8.13745e-05
5120302,6120103,9.93707e-05
7120201,6120103,0.0005845525
13320101,6120103,5.00088e-05
9220302,6120103,0.0010770938
7120202,6120103,0.0003673568
1230135,6120103,0.0002260727
12120101,6120103,0.0002241428
4120202,6120103,1.53588e-05
1430111,6120103,0.0002452119
4320103,6120103,0.000272422
2120401,6120103,2.19178e-05
6120301,6120103,0.0004929605
1230125,6120103,0.0001340807
4220101,6120103,7.00057e-05
10120203,6120103,0.0004314557
1330112,6120103,4.42775e-05
9120203,6120103,0.0004044694
10120204,6120103,3.40327e-05
6120202,6120103,0.0009680662
1130126,6120103,4.49561e-05
9220105,6120103,0.0483208206
6320104,6120103,0.0001564456
6220102,6120103,0.0004157826
12220203,6120103,2.57453e-05
6220302,6120103,0.0186828953
5420204,6120103,5.20761e-05
6220304,6120103,0.0241772298
5320401,6120103,6.99227e-05
5220101,6120103,0.0003579098
10120103,6120103,1.1196e-05
6220204,6120103,0.0021677342
1130125,6120103,6.87323e-05
12220102,6120103,1.9505e-05
11220202,6120103,3.28822e-05
1130144,6120103,0.0006338399
9320203,6120103,1.64244e-05
7120102,6120103,0.0003693688
8320303,6120103,0.000101914
6220206,6120103,0.0009887937
12120204,6120103,6.32691e-05
11120102,6120103,7.62681e-05
4320101,6120103,6.51622e-05
6320102,6120103,0.0002477175
1230122,6120103,0.0001296293
1130114,6120103,8.11853e-05
2120201,6120103,1.62489e-05
1130131,6120103,5.46493e-05
2320201,6120103,0.0002630229
7220301,6120103,0.0003510241
12320201,6120103,1.42377e-05
9120103,6120103,0.0004095729
3220203,6120103,9.36795e-05
1330113,6120103,6.33751e-05
9220203,6120103,7.46269e-05
14120101,6120103,2.81594e-05
10120104,6120103,0.0005026052
6120303,6120103,0.000562954
3120202,6120103,0.0001618961
11120101,6120103,4.3788e-06
6120302,6120103,0.000253985
3220204,6120103,0.0006141563
14120302,6120103,0.0001610578
1430114,6120103,9.76264e-05
14220101,6120103,0.0002811483
4220403,6120103,5.07972e-05
10120301,6120103,7.01656e-05
4120102,6120103,1.83366e-05
12320101,6120103,7.5764e-06
2120301,6120103,8.6928e-06
14220302,6120103,0.0007358538
11120202,6120103,1.24877e-05
8320101,6120103,3.70934e-05
8120102,6120103,5.04014e-05
6220202,6120103,0.000398493
6220203,6120103,0.0002467541
14220301,6120103,1.63586e-05
8120204,6120103,1.777e-06
10120202,6120103,0.0005072163
12320303,6120103,4.95074e-05
