loc_i,loc_j,coupling force
9120201,6120103,5.5929e-05
3120301,6120103,2.28605e-05
9320102,6120103,0.0002088647
5120303,6120103,6.1948e-06
7320404,6120103,7.2695e-06
12220201,6120103,0.0001769218
1230114,6120103,0.000111548
1130113,6120103,6.59171e-05
14320104,6120103,1.3086e-06
10120104,6120103,0.0001640852
8320303,6120103,5.65975e-05
5220303,6120103,1.9835e-06
7120302,6120103,7.43304e-05
6220103,6120103,0.0002378148
1130142,6120103,8.93485e-05
12120202,6120103,0.0001016064
1130141,6120103,4.77456e-05
14220203,6120103,6.78514e-05
9220104,6120103,0.0004307971
1430111,6120103,9.3944e-05
6220302,6120103,0.016713033
12220204,6120103,0.000402408
5220102,6120103,5.50971e-05
7230111,6120103,8.4727e-06
4120101,6120103,1.0832e-05
3120303,6120103,8.22947e-05
1230124,6120103,3.02622e-05
3320301,6120103,6.87099e-05
12120103,6120103,0.0004387053
10220302,6120103,2.13445e-05
2320102,6120103,6.9344e-06
6220101,6120103,0.0003246253
3320205,6120103,4.49051e-05
1130124,6120103,4.10028e-05
6120102,6120103,0.0222976331
6120301,6120103,0.0006997302
8220404,6120103,2.05525e-05
1430115,6120103,3.31019e-05
2120402,6120103,4.80334e-05
10120203,6120103,3.71543e-05
7120301,6120103,6.20627e-05
1230133,6120103,0.0001153348
5320202,6120103,2.4083e-06
6120203,6120103,0.0019298975
3320203,6120103,1.63258e-05
2120304,6120103,4.76731e-05
7120303,6120103,4.25811e-05
1130133,6120103,8.72438e-05
9220301,6120103,0.0030247406
4120203,6120103,1.30459e-05
3320101,6120103,0.0004820461
1230127,6120103,3.67262e-05
1430113,6120103,1.61229e-05
8220304,6120103,5.8822e-05
6120103,6120103,0.6251504042
8320103,6120103,7.769e-06
1230111,6120103,0.0001476637
8220103,6120103,4.8379e-06
4220202,6120103,3.3882e-06
1130125,6120103,3.32073e-05
5220203,6120103,4.3677e-06
11120201,6120103,1.55385e-05
1130143,6120103,0.0001409682
8120101,6120103,0.0001047953
12120101,6120103,0.001014292
6120201,6120103,0.0013115695
9220103,6120103,0.0158473576
8320203,6120103,1.49158e-05
