Location1,CACR_1,node,Population
01230132,CA,0,45631
01130124,CA,1,76455
01230127,CA,2,44841
01230134,CA,3,27938
01430115,CA,4,37982
01230125,CA,5,109070
07230121,CA,6,147303
01230133,CA,7,144574
01130115,CA,8,21196
01230113,CA,9,36146
01130125,CA,10,53059
01230131,CA,11,59369
01130132,CA,12,19556
01130133,CA,13,100621
01130114,CA,14,58802
01330111,CA,15,103556
01230121,CA,16,58672
01430113,CA,17,39567
01130121,CA,18,52888
01230122,CA,19,36508
01230112,CA,20,109074
01430114,CA,21,100935
07230122,CA,22,90991
01130111,CA,23,1890
01230135,CA,24,108359
01130131,CA,25,84027
01130112,CA,26,39052
01130113,CA,27,92229
01130142,CA,28,46244
01230124,CA,29,34220
01230123,CA,30,52627
01330113,CA,31,66250
01230126,CA,32,33815
01230114,CA,33,226857
01130122,CA,34,77114
01330112,CA,35,78890
01130143,CA,36,179433
01130123,CA,37,44016
01130141,CA,38,208688
01130144,CA,39,58972
01130126,CA,40,41531
01130134,CA,41,33522
07230111,CA,42,116092
01430112,CA,43,1866
01230111,CA,44,189424
01430111,CA,45,103887
05420204,CR,46,22663
14220201,CR,47,10081
05420203,CR,48,14280
14120103,CR,49,8224
04220201,CR,50,26825
12120201,CR,51,28050
11120202,CR,52,60978
11220101,CR,53,35450
05320301,CR,54,6186
09120302,CR,55,32507
09120403,CR,56,34732
07320202,CR,57,36073
05220101,CR,58,30327
04120102,CR,59,18659
13320203,CR,60,13980
10220201,CR,61,18675
02220101,CR,62,23668
11220102,CR,63,47194
05420101,CR,64,18156
05320204,CR,65,15745
09220304,CR,66,39809
05120201,CR,67,19541
09120104,CR,68,24066
12220203,CR,69,4829
09220104,CR,70,11343
10120104,CR,71,17574
03320105,CR,72,4774
06120302,CR,73,15297
09120201,CR,74,28729
09220203,CR,75,9849
08220201,CR,76,15173
06220202,CR,77,18333
03120103,CR,78,21819
02120201,CR,79,6217
03120302,CR,80,27526
12320303,CR,81,21833
03220105,CR,82,11738
05120303,CR,83,27137
07320304,CR,84,13067
08120303,CR,85,16746
03120102,CR,86,16569
14120302,CR,87,20558
03220103,CR,88,16051
12320103,CR,89,22044
08320202,CR,90,30749
02120403,CR,91,26560
09120204,CR,92,11050
08220104,CR,93,15674
14220101,CR,94,14325
04220302,CR,95,34076
03320202,CR,96,47924
11220201,CR,97,37470
12120204,CR,98,22341
07320301,CR,99,10402
07120102,CR,100,51825
02120301,CR,101,13708
06320104,CR,102,14198
09220101,CR,103,22471
04320103,CR,104,23518
04120101,CR,105,31798
06220205,CR,106,12363
09220201,CR,107,10189
02120102,CR,108,15406
10120202,CR,109,11447
08320401,CR,110,36640
13320202,CR,111,14536
02220202,CR,112,9447
13320101,CR,113,7729
03220106,CR,114,3750
03120304,CR,115,24301
12220201,CR,116,29126
07320403,CR,117,24328
14320303,CR,118,12323
07220204,CR,119,49842
09320101,CR,120,20851
06320203,CR,121,12122
08320102,CR,122,5405
13120103,CR,123,6014
10220202,CR,124,16764
05320401,CR,125,13389
05220202,CR,126,23184
05120302,CR,127,21860
02120203,CR,128,8979
10220203,CR,129,14127
10320204,CR,130,7749
14120105,CR,131,11817
10220301,CR,132,23811
05320102,CR,133,6010
05220203,CR,134,12624
10220303,CR,135,11924
14320201,CR,136,16265
10120203,CR,137,17399
05320201,CR,138,8343
05220303,CR,139,21508
13320201,CR,140,2901
12420102,CR,141,9344
10320203,CR,142,28519
13220101,CR,143,4189
14120202,CR,144,15736
14220302,CR,145,11726
14220202,CR,146,8452
13120104,CR,147,8851
10120302,CR,148,4940
10120101,CR,149,23445
05320302,CR,150,6598
07320302,CR,151,29297
05120101,CR,152,3496
08120205,CR,153,16713
13120201,CR,154,6804
02320202,CR,155,5747
05420102,CR,156,17587
05420201,CR,157,12264
10320301,CR,158,16569
10320201,CR,159,13819
05320303,CR,160,8178
05320203,CR,161,8856
10120201,CR,162,17360
12320302,CR,163,15972
02120302,CR,164,8575
02120104,CR,165,10345
13120202,CR,166,5429
13220102,CR,167,4939
06320202,CR,168,10452
03220102,CR,169,3663
14320301,CR,170,14066
08320402,CR,171,15504
14120102,CR,172,10304
07120101,CR,173,42789
10220101,CR,174,11561
08320204,CR,175,7939
08320302,CR,176,13904
07320405,CR,177,9296
08320301,CR,178,11276
05220301,CR,179,18924
05220302,CR,180,47924
13120102,CR,181,15555
08220303,CR,182,10056
11120103,CR,183,26920
12420201,CR,184,21995
08120107,CR,185,6072
03320203,CR,186,5366
03120204,CR,187,38130
02320102,CR,188,5824
08220202,CR,189,7683
07320203,CR,190,22035
03220203,CR,191,28727
05120102,CR,192,2672
10220103,CR,193,54479
10320101,CR,194,7986
08320103,CR,195,19197
03120101,CR,196,17880
02120202,CR,197,8496
10220102,CR,198,19273
14220103,CR,199,4181
03120202,CR,200,31483
08120202,CR,201,17716
14120301,CR,202,19779
05420103,CR,203,15296
08120101,CR,204,13279
08220401,CR,205,13824
07320201,CR,206,29972
11120102,CR,207,22326
08120305,CR,208,10775
08120304,CR,209,27042
07220102,CR,210,22603
12320202,CR,211,16189
10320303,CR,212,15524
12420104,CR,213,6260
04220102,CR,214,32192
03320302,CR,215,16719
09220105,CR,216,18579
06220206,CR,217,29818
06220301,CR,218,30950
08220103,CR,219,10390
06220102,CR,220,49030
10320302,CR,221,37061
04220403,CR,222,48953
09120402,CR,223,26435
05120301,CR,224,24555
14220301,CR,225,20459
11120203,CR,226,53084
05220102,CR,227,23010
09220103,CR,228,11118
06320102,CR,229,11954
12120101,CR,230,27048
03220204,CR,231,16649
08320101,CR,232,28270
08120103,CR,233,9953
08220405,CR,234,6354
11120201,CR,235,60873
04220202,CR,236,27443
06120103,CR,237,32870
07320401,CR,238,19866
06120301,CR,239,16903
08220102,CR,240,18047
06320103,CR,241,15127
06220302,CR,242,23221
07120203,CR,243,27643
13120101,CR,244,12583
08220203,CR,245,18495
07220302,CR,246,31283
09220303,CR,247,36937
02320101,CR,248,19885
08220403,CR,249,11775
